"Period","Activity","Source","Destination","Energy (MW.h)","Total Value (CAN$)","Price (CAN$/MW.h)"
"05/01/1990","Imports","Washington","British Columbia","1367.0000","11521.0000","8.43"
"05/01/1990","Imports","Washington","Total","1575.0000","20359.5900","12.93"
"06/01/1990","Exports","British Columbia","Alaska","59.4000","3740.0000","62.96"
"06/01/1990","Exports","British Columbia","California","5671.9430","119052.9500","20.99"
"06/01/1990","Exports","British Columbia","Idaho","2927.0000","43281.5900","14.79"
"06/01/1990","Exports","British Columbia","Oregon","38029.0000","573812.4000","15.09"
"06/01/1990","Exports","British Columbia","Total","47671.3430","785609.9400","16.48"
"06/01/1990","Exports","British Columbia","Washington","984.0000","45723.0000","46.47"
"06/01/1990","Exports","Manitoba","Minnesota","259321.2470","3832037.8000","12.63"
"06/01/1990","Exports","Manitoba","North Dakota","20000.0000","398700.9000","19.94"
"06/01/1990","Exports","Manitoba","Total","279321.2470","4230738.7000","13.16"
"06/01/1990","Exports","New Brunswick","Maine","232230.8220","8374920.0300","35.70"
"06/01/1990","Exports","New Brunswick","Massachusetts","163440.0000","9448089.0000","57.81"
"06/01/1990","Exports","New Brunswick","Total","395670.8220","17823009.0300","44.83"
"06/01/1990","Exports","Ontario","Michigan","91.7800","0.0000","0.00"
"06/01/1990","Exports","Ontario","New York","9608.9380","497626.9700","51.74"
"06/01/1990","Exports","Ontario","Total","9700.7180","497626.9700","51.25"
"06/01/1990","Exports","Québec","Maine","844.6100","51016.3800","60.40"
"06/01/1990","Exports","Québec","New Hampshire","14.8200","1043.3100","70.40"
"06/01/1990","Exports","Québec","New York","573004.0000","16585335.1400","26.49"
"06/01/1990","Exports","Québec","Total","686268.4300","21056297.8700","28.08"
"06/01/1990","Exports","Québec","Vermont","112405.0000","4418903.0400","35.95"
"06/01/1990","Exports","Saskatchewan","North Dakota","2700.0000","17533.3600","6.49"
"06/01/1990","Exports","Saskatchewan","Total","2700.0000","17533.3600","6.49"
"06/01/1990","Exports","Total","Alaska","59.4000","3740.0000","62.96"
"06/01/1990","Exports","Total","California","5671.9430","119052.9500","20.99"
"06/01/1990","Exports","Total","Idaho","2927.0000","43281.5900","14.79"
"06/01/1990","Exports","Total","Maine","233075.4320","8425936.4100","35.79"
"06/01/1990","Exports","Total","Massachusetts","163440.0000","9448089.0000","57.81"
"06/01/1990","Exports","Total","Michigan","91.7800","0.0000","0.00"
"06/01/1990","Exports","Total","Minnesota","259321.2470","3832037.8000","12.63"
"06/01/1990","Exports","Total","New Hampshire","14.8200","1043.3100","70.40"
"06/01/1990","Exports","Total","New York","582612.9380","17082962.1100","26.90"
"06/01/1990","Exports","Total","North Dakota","22700.0000","416234.2600","18.34"
"06/01/1990","Exports","Total","Oregon","38029.0000","573812.4000","15.09"
"06/01/1990","Exports","Total","Total","1421332.5600","44410815.8700","29.54"
"06/01/1990","Exports","Total","Vermont","112405.0000","4418903.0400","35.95"
"06/01/1990","Exports","Total","Washington","984.0000","45723.0000","46.47"
"06/01/1990","Imports","Maine","New Brunswick","229.8000","11669.7200","50.78"
"06/01/1990","Imports","Maine","Total","229.8000","11669.7200","50.78"
"06/01/1990","Imports","Michigan","Ontario","1083745.7000","39425940.0200","36.38"
"06/01/1990","Imports","Michigan","Total","1083745.7000","39425940.0200","36.38"
"06/01/1990","Imports","Minnesota","Ontario","13809.0000","528967.4700","38.31"
"06/01/1990","Imports","Minnesota","Total","13809.0000","528967.4700","38.31"
"06/01/1990","Imports","Montana","British Columbia","10.0000","580.2500","58.02"
"06/01/1990","Imports","Montana","Total","10.0000","580.2500","58.02"
"06/01/1990","Imports","New England-ISO","Québec","368.0000","41202.8100","111.96"
"06/01/1990","Imports","New England-ISO","Total","368.0000","41202.8100","111.96"
"06/01/1990","Imports","New York","Ontario","157373.0000","6670930.4000","42.39"
"06/01/1990","Imports","New York","Québec","425932.0000","11461555.2400","26.91"
"06/01/1990","Imports","New York","Total","583305.0000","18132485.6400","31.09"
"06/01/1990","Imports","North Dakota","Saskatchewan","5575.0000","250898.4100","45.00"
"06/01/1990","Imports","North Dakota","Total","5575.0000","250898.4100","45.00"
"06/01/1990","Imports","Total","Alberta","208.0000","8838.5900","42.49"
"06/01/1990","Imports","Total","British Columbia","32052.0000","284041.2500","8.86"
"06/01/1990","Imports","Total","New Brunswick","229.8000","11669.7200","50.78"
"06/01/1990","Imports","Total","Ontario","1254927.7000","46625837.8900","37.15"
"06/01/1990","Imports","Total","Québec","426416.0000","11508199.8400","26.99"
"06/01/1990","Imports","Total","Saskatchewan","5575.0000","250898.4100","45.00"
"06/01/1990","Imports","Total","Total","1719408.5000","58689485.7000","34.13"
"06/01/1990","Imports","Vermont","Québec","116.0000","5441.7900","46.91"
"06/01/1990","Imports","Vermont","Total","116.0000","5441.7900","46.91"
"06/01/1990","Imports","Washington","Alberta","208.0000","8838.5900","42.49"
"06/01/1990","Imports","Washington","British Columbia","32042.0000","283461.0000","8.85"
"06/01/1990","Imports","Washington","Total","32250.0000","292299.5900","9.06"
"07/01/1990","Exports","British Columbia","Alaska","53.2800","3417.0000","64.13"
"07/01/1990","Exports","British Columbia","California","426840.5220","9485415.0200","22.22"
"07/01/1990","Exports","British Columbia","Idaho","32087.0000","621931.9500","19.38"
"07/01/1990","Exports","British Columbia","Montana","35535.0000","637736.3900","17.95"
"07/01/1990","Exports","British Columbia","Oregon","161542.0000","3097168.6900","19.17"
"07/01/1990","Exports","British Columbia","Total","667852.0020","14062957.5200","21.06"
"07/01/1990","Exports","British Columbia","Washington","11794.2000","217288.4700","18.42"
"07/01/1990","Exports","Manitoba","Minnesota","365047.3140","5122240.0500","12.54"
"07/01/1990","Exports","Manitoba","North Dakota","19625.0000","381547.6900","19.44"
